Total 1 configurations will be processed in 1 threads
parsing download/binance-short-btcusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-btcusdt-1m-processed.json: load 226080 elements
parsing took 0.104 sec
parsing download/binance-short-ethusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-ethusdt-1m-processed.json: load 226080 elements
parsing took 0.103 sec
parsing download/binance-short-ethbtc-1m-processed.json
mapped_file::open: base=0x7f469de00000
download/binance-short-ethbtc-1m-processed.json: load 226080 elements
parsing took 0.103 sec
sorting took 0.173 sec
1.0000000000000000 93488.8399999999965075 3340.0399999999999636 
Using temp file '_tmp.31465' as interprocedural connect
mapped_file::open: base=0x7f4664e00000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1735962455 2.0%	trades: 0	AMM: 96694.096, 3598.995	Target: 96372.726, 3460.545	Vol: 2453884.2493	PR:0.51	xCP-growth: {1.0001255479}	APY:1.4%	fee:0.879% .
t=1735972695 2.1%	trades: 0	AMM: 96694.096, 3598.995	Target: 96372.726, 3460.545	Vol: 2453884.2493	PR:0.51	xCP-growth: {1.0001255479}	APY:1.4%	fee:0.879% .
t=1735982935 2.2%	trades: 0	AMM: 96694.096, 3598.995	Target: 96372.726, 3460.545	Vol: 2453884.2493	PR:0.51	xCP-growth: {1.0001255479}	APY:1.3%	fee:0.879% .
t=1735993175 2.3%	trades: 0	AMM: 96694.096, 3598.995	Target: 96372.726, 3460.545	Vol: 2453884.2493	PR:0.51	xCP-growth: {1.0001255479}	APY:1.3%	fee:0.879% .
t=1736003415 2.3%	trades: 0	AMM: 96694.096, 3610.407	Target: 96404.863, 3473.762	Vol: 2481916.9015	PR:0.50	xCP-growth: {1.0001302056}	APY:1.3%	fee:0.902% .
t=1736013655 2.4%	trades: 0	AMM: 96694.096, 3610.407	Target: 96404.863, 3473.762	Vol: 2481916.9015	PR:0.50	xCP-growth: {1.0001302056}	APY:1.3%	fee:0.902% .
t=1736023895 2.5%	trades: 0	AMM: 96694.096, 3633.250	Target: 96404.863, 3473.762	Vol: 2493997.1015	PR:0.51	xCP-growth: {1.0001356526}	APY:1.3%	fee:0.941% .
t=1736034135 2.6%	trades: 0	AMM: 96694.096, 3633.250	Target: 96404.863, 3473.762	Vol: 2493997.1015	PR:0.51	xCP-growth: {1.0001356526}	APY:1.2%	fee:0.941% .
t=1736044375 2.6%	trades: 0	AMM: 96694.096, 3638.635	Target: 96404.863, 3473.762	Vol: 2498800.1015	PR:0.51	xCP-growth: {1.0001378471}	APY:1.2%	fee:0.955% .
t=1736054615 2.7%	trades: 0	AMM: 96694.096, 3638.635	Target: 96404.863, 3473.762	Vol: 2498800.1015	PR:0.51	xCP-growth: {1.0001378471}	APY:1.2%	fee:0.955% .
