Total 1 configurations will be processed in 1 threads
parsing download/binance-short-btcusdt-1m-processed.json
mapped_file::open: base=0x7f09fdc00000
download/binance-short-btcusdt-1m-processed.json: load 226080 elements
parsing took 0.107 sec
parsing download/binance-short-ethusdt-1m-processed.json
mapped_file::open: base=0x7f09fde00000
download/binance-short-ethusdt-1m-processed.json: load 226080 elements
parsing took 0.103 sec
parsing download/binance-short-ethbtc-1m-processed.json
mapped_file::open: base=0x7f09f9800000
download/binance-short-ethbtc-1m-processed.json: load 226080 elements
parsing took 0.107 sec
sorting took 0.177 sec
1.0000000000000000 93488.8399999999965075 3340.0399999999999636 
Using temp file '_tmp.31481' as interprocedural connect
mapped_file::open: base=0x7f09c4200000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1735962455 2.0%	trades: 0	AMM: 98190.079, 3594.781	Target: 97133.334, 3511.359	Vol: 5013533.9326	PR:0.50	xCP-growth: {1.0000788401}	APY:0.9%	fee:0.113% *
t=1735972695 2.1%	trades: 0	AMM: 98054.323, 3602.468	Target: 97133.334, 3511.359	Vol: 5028219.7909	PR:0.50	xCP-growth: {1.0000796614}	APY:0.9%	fee:0.120% *
t=1735982935 2.2%	trades: 0	AMM: 97888.707, 3591.334	Target: 97133.334, 3511.359	Vol: 5055689.7479	PR:0.51	xCP-growth: {1.0000811062}	APY:0.9%	fee:0.110% *
t=1735993175 2.3%	trades: 0	AMM: 97888.707, 3615.813	Target: 97208.871, 3519.982	Vol: 5101039.0638	PR:0.50	xCP-growth: {1.0000812558}	APY:0.8%	fee:0.126% *
t=1736003415 2.3%	trades: 0	AMM: 97974.525, 3639.530	Target: 97286.180, 3531.581	Vol: 5191527.0729	PR:0.50	xCP-growth: {1.0000845750}	APY:0.8%	fee:0.137% *
t=1736013655 2.4%	trades: 0	AMM: 97967.172, 3628.374	Target: 97356.053, 3542.038	Vol: 5371027.5886	PR:0.51	xCP-growth: {1.0000916649}	APY:0.9%	fee:0.122% .
t=1736023895 2.5%	trades: 0	AMM: 98512.560, 3662.344	Target: 97415.995, 3550.885	Vol: 5431722.9270	PR:0.51	xCP-growth: {1.0000924919}	APY:0.9%	fee:0.138% *
t=1736034135 2.6%	trades: 0	AMM: 98277.409, 3662.619	Target: 97522.147, 3561.572	Vol: 5480667.8062	PR:0.50	xCP-growth: {1.0000927803}	APY:0.8%	fee:0.126% *
t=1736044375 2.6%	trades: 0	AMM: 98277.409, 3638.185	Target: 97522.147, 3561.572	Vol: 5515509.5013	PR:0.51	xCP-growth: {1.0000947986}	APY:0.8%	fee:0.107% *
t=1736054615 2.7%	trades: 0	AMM: 98448.943, 3636.517	Target: 97522.147, 3561.572	Vol: 5550326.3328	PR:0.51	xCP-growth: {1.0000965978}	APY:0.8%	fee:0.104% *
t=1736064855 2.8%	trades: 0	AMM: 98194.553, 3616.166	Target: 97522.147, 3561.572	Vol: 5570853.6325	PR:0.51	xCP-growth: {1.0000975011}	APY:0.8%	fee:0.085% .
t=1736075095 2.9%	trades: 0	AMM: 97737.052, 3612.182	Target: 97599.783, 3568.872	Vol: 5594754.0088	PR:0.50	xCP-growth: {1.0000959641}	APY:0.8%	fee:0.079% *
t=1736085335 2.9%	trades: 0	AMM: 97815.773, 3625.230	Target: 97599.783, 3568.872	Vol: 5634558.4148	PR:0.51	xCP-growth: {1.0000975088}	APY:0.8%	fee:0.085% *
t=1736095575 3.0%	trades: 0	AMM: 98030.813, 3630.140	Target: 97589.565, 3572.515	Vol: 5748346.0621	PR:0.51	xCP-growth: {1.0001003141}	APY:0.8%	fee:0.089% *
t=1736105815 3.1%	trades: 0	AMM: 97960.799, 3628.455	Target: 97633.846, 3578.337	Vol: 5805356.5367	PR:0.51	xCP-growth: {1.0001008419}	APY:0.8%	fee:0.085% *
t=1736116055 3.2%	trades: 0	AMM: 98491.025, 3641.723	Target: 97700.670, 3584.886	Vol: 5856836.3456	PR:0.50	xCP-growth: {1.0001009838}	APY:0.7%	fee:0.088% *
t=1736126295 3.2%	trades: 0	AMM: 98087.663, 3618.947	Target: 97700.670, 3584.886	Vol: 5937598.4114	PR:0.51	xCP-growth: {1.0001040667}	APY:0.7%	fee:0.061% *
t=1736136535 3.3%	trades: 0	AMM: 99171.394, 3664.133	Target: 97930.713, 3602.309	Vol: 6121189.0837	PR:0.50	xCP-growth: {1.0001072082}	APY:0.8%	fee:0.095% *
t=1736146775 3.4%	trades: 0	AMM: 99697.387, 3669.484	Target: 97930.713, 3602.309	Vol: 6193244.4299	PR:0.51	xCP-growth: {1.0001108325}	APY:0.8%	fee:0.102% .
t=1736157015 3.5%	trades: 0	AMM: 99089.621, 3645.328	Target: 98103.459, 3610.059	Vol: 6264675.7684	PR:0.51	xCP-growth: {1.0001108593}	APY:0.7%	fee:0.072% *
t=1736167255 3.5%	trades: 0	AMM: 99610.055, 3653.735	Target: 98203.886, 3613.899	Vol: 6338316.6400	PR:0.50	xCP-growth: {1.0001119450}	APY:0.7%	fee:0.083% *
t=1736177495 3.6%	trades: 0	AMM: 101712.544, 3691.209	Target: 98965.299, 3632.570	Vol: 6766485.4586	PR:0.50	xCP-growth: {1.0001203472}	APY:0.8%	fee:0.128% *
t=1736187735 3.7%	trades: 1	AMM: 101754.291, 3683.881	Target: 99780.548, 3651.453	Vol: 7078716.1858	PR:0.51	xCP-growth: {1.0001297080}	APY:0.8%	fee:0.107% *
t=1736197975 3.8%	trades: 0	AMM: 102204.777, 3679.441	Target: 99996.476, 3655.513	Vol: 7153241.3916	PR:0.50	xCP-growth: {1.0001311599}	APY:0.8%	fee:0.108% *
t=1736208215 3.8%	trades: 0	AMM: 101699.565, 3684.399	Target: 100167.059, 3657.310	Vol: 7220673.8036	PR:0.50	xCP-growth: {1.0001323476}	APY:0.8%	fee:0.100% *
t=1736218455 3.9%	trades: 0	AMM: 102029.985, 3683.370	Target: 100355.084, 3659.129	Vol: 7333613.9780	PR:0.50	xCP-growth: {1.0001351331}	APY:0.8%	fee:0.078% *
t=1736228695 4.0%	trades: 0	AMM: 102029.985, 3666.817	Target: 100355.084, 3659.129	Vol: 7385372.0827	PR:0.51	xCP-growth: {1.0001370081}	APY:0.8%	fee:0.079% *
t=1736238935 4.1%	trades: 0	AMM: 101797.630, 3669.014	Target: 100522.574, 3660.586	Vol: 7420068.1502	PR:0.50	xCP-growth: {1.0001362703}	APY:0.8%	fee:0.075% *
t=1736249175 4.2%	trades: 0	AMM: 101379.847, 3652.781	Target: 100522.574, 3660.586	Vol: 7496546.2874	PR:0.51	xCP-growth: {1.0001389905}	APY:0.8%	fee:0.068% *
t=1736259415 4.2%	trades: 0	AMM: 100743.663, 3632.262	Target: 100629.368, 3657.434	Vol: 7641878.4969	PR:0.50	xCP-growth: {1.0001405941}	APY:0.8%	fee:0.061% *
t=1736269655 4.3%	trades: 0	AMM: 97518.858, 3459.303	Target: 98425.650, 3510.502	Vol: 9454897.0119	PR:0.51	xCP-growth: {1.0001851774}	APY:1.0%	fee:0.085% *
t=1736279895 4.4%	trades: 0	AMM: 96575.951, 3385.438	Target: 97823.295, 3476.940	Vol: 9846237.0998	PR:0.50	xCP-growth: {1.0001938141}	APY:1.0%	fee:0.124% *
t=1736290135 4.5%	trades: 0	AMM: 96886.190, 3391.896	Target: 97470.399, 3452.848	Vol: 10142067.3208	PR:0.50	xCP-growth: {1.0002029430}	APY:1.1%	fee:0.097% *
t=1736300375 4.5%	trades: 0	AMM: 97040.638, 3390.556	Target: 97381.885, 3442.109	Vol: 10270479.6132	PR:0.50	xCP-growth: {1.0002045105}	APY:1.1%	fee:0.084% *
t=1736310615 4.6%	trades: 0	AMM: 96463.245, 3355.242	Target: 97142.266, 3419.767	Vol: 10535910.0667	PR:0.50	xCP-growth: {1.0002102219}	APY:1.1%	fee:0.092% *
t=1736320855 4.7%	trades: 0	AMM: 95461.173, 3328.371	Target: 96889.589, 3401.115	Vol: 10811134.3298	PR:0.50	xCP-growth: {1.0002188332}	APY:1.1%	fee:0.102% *
t=1736331095 4.8%	trades: 0	AMM: 95538.203, 3356.070	Target: 96747.091, 3395.205	Vol: 10924028.6195	PR:0.50	xCP-growth: {1.0002207240}	APY:1.1%	fee:0.082% *
t=1736341335 4.8%	trades: 1	AMM: 95199.624, 3355.804	Target: 96377.340, 3383.827	Vol: 11149558.9575	PR:0.50	xCP-growth: {1.0002253597}	APY:1.1%	fee:0.070% *
t=1736351575 4.9%	trades: 0	AMM: 95293.115, 3348.110	Target: 95110.934, 3353.375	Vol: 12080955.9011	PR:0.50	xCP-growth: {1.0002372279}	APY:1.1%	fee:0.047% *
t=1736361815 5.0%	trades: 0	AMM: 94380.408, 3290.816	Target: 94583.064, 3304.918	Vol: 13448962.2549	PR:0.51	xCP-growth: {1.0002648904}	APY:1.2%	fee:0.049% .
t=1736372055 5.1%	trades: 0	AMM: 94204.732, 3289.059	Target: 94289.357, 3289.095	Vol: 14483807.7912	PR:0.50	xCP-growth: {1.0002731972}	APY:1.3%	fee:0.032% *
t=1736382295 5.1%	trades: 0	AMM: 94987.579, 3324.770	Target: 94449.609, 3299.980	Vol: 14803249.2072	PR:0.50	xCP-growth: {1.0002772642}	APY:1.3%	fee:0.058% *
t=1736392535 5.2%	trades: 0	AMM: 94322.279, 3327.259	Target: 94546.717, 3334.845	Vol: 15372137.2328	PR:0.50	xCP-growth: {1.0002844701}	APY:1.3%	fee:0.043% *
t=1736402775 5.3%	trades: 0	AMM: 94344.504, 3330.024	Target: 94475.002, 3333.895	Vol: 15737264.8341	PR:0.50	xCP-growth: {1.0002893820}	APY:1.3%	fee:0.043% *
t=1736413015 5.4%	trades: 0	AMM: 92946.259, 3308.736	Target: 93811.198, 3313.937	Vol: 16244939.0517	PR:0.50	xCP-growth: {1.0002962977}	APY:1.3%	fee:0.065% *
t=1736423255 5.4%	trades: 0	AMM: 93577.869, 3301.374	Target: 93620.420, 3309.895	Vol: 16751990.9546	PR:0.50	xCP-growth: {1.0003033254}	APY:1.3%	fee:0.045% *
t=1736433495 5.5%	trades: 0	AMM: 92351.878, 3248.140	Target: 93067.005, 3283.131	Vol: 17275523.2751	PR:0.50	xCP-growth: {1.0003118017}	APY:1.3%	fee:0.077% *
t=1736443735 5.6%	trades: 0	AMM: 93743.874, 3284.536	Target: 93371.116, 3275.815	Vol: 17850295.3117	PR:0.50	xCP-growth: {1.0003213607}	APY:1.3%	fee:0.052% *
t=1736453975 5.7%	trades: 0	AMM: 91746.470, 3163.661	Target: 92672.177, 3239.449	Vol: 18854337.7580	PR:0.50	xCP-growth: {1.0003370591}	APY:1.4%	fee:0.113% *
t=1736464215 5.7%	trades: 1	AMM: 92504.800, 3224.799	Target: 92284.633, 3219.585	Vol: 19635924.9053	PR:0.50	xCP-growth: {1.0003484989}	APY:1.4%	fee:0.042% *
